department,code,title,description,credit,advised_requisite,link
b'APPPHYS',b'990',b' Dissertation/Precandidate ',b'Election for dissertation work by doctoral student not yet admitted as a Candidate.',1,b'Election for dissertation work.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS990001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'995',b' Dissertation/Candidate ',b'Graduate School authorization for admission as a doctoral Candidate. \r\n\r\nN.B. The defense of the dissertation (the final oral examination) must be held under a full term Candidacy enrollment period. ',8,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS995001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'715',b' Independent Research ',b'Intended for individualized student non-thesis research under  the supervision of Applied Physics\r\n                          faculty.   Must be arranged with the faculty member and approved by the program.',1,b'Permission of Program Director. Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2080APPPHYS715101&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'990',b' Dissertation/Precandidate ',b'Election for dissertation work by doctoral student not yet admitted as a Candidate.',1,b'Election for dissertation work.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2080APPPHYS990101&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'995',b' Dissertation/Candidate ',b'Graduate School authorization for admission as a doctoral Candidate. \r\n\r\nN.B. The defense of the dissertation (the final oral examination) must be held under a full term Candidacy enrollment period. ',4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2080APPPHYS995101&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'715',b' Independent Research ',b'Intended for individualized student non-thesis research under  the supervision of Applied Physics\r\n                          faculty.   Must be arranged with the faculty member and approved by the program.',1,b'Permission of Program Director. Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2090APPPHYS715001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'990',b' Dissertation/Precandidate ',b'Election for dissertation work by doctoral student not yet admitted as a Candidate.',1,b'Election for dissertation work.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2090APPPHYS990001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'995',b' Dissertation/Candidate ',b'Graduate School authorization for admission as a doctoral Candidate. \r\n\r\nN.B. The defense of the dissertation (the final oral examination) must be held under a full term Candidacy enrollment period. ',8,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2090APPPHYS995001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'715',b' Independent Research ',b'Intended for individualized student non-thesis research under  the supervision of Applied Physics\r\n                          faculty.   Must be arranged with the faculty member and approved by the program.',1,b'Permission of Program Director. Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2100APPPHYS715201&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'990',b' Dissertation/Precandidate ',b'Election for dissertation work by doctoral student not yet admitted as a Candidate.',1,b'Election for dissertation work.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2100APPPHYS990201&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'995',b' Dissertation/Candidate ',b'Graduate School authorization for admission as a doctoral Candidate. \r\n\r\nN.B. The defense of the dissertation (the final oral examination) must be held under a full term Candidacy enrollment period. ',4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2100APPPHYS995201&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'514',b' Applied Physics Seminar ',"b'Research presentations given by a mix of faculty, external lecturers, and students.  The goal of the seminar is to promote awareness of forefront issues in applied physics and to provide for more interactions among participants in the Applied Physics program. '",1,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS514001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'514',b' Applied Physics Seminar ',"b'Research presentations given by a mix of faculty, external lecturers, and students.  The goal of the seminar is to promote awareness of forefront issues in applied physics and to provide for more interactions among participants in the Applied Physics program. '",2,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS514099&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'530',b' Electromagnetic Theory I ',"b'Text: R.F. Harrington, Time-Harmonic Electromagnetic Fields, McGraw Hill Book Company, 1961. \r\n\r\nThe instructor will also provide handouts throughout the semester.\r\n\r\n  \r\nReferences: J.A. Stratton, Electromagnetic Theory,  McGraw Hill Book Company, 1941.\r\n\r\nJ.A. Kong, Electromagnetic Wave Theory, EMW Publishing, 2000\r\n \r\nGoals: Introduction to electric charge and current, electric and magnetic fields, and traveling waves.  The concept of traveling waves is introduced by studying the theory of wave propagation in transmission lines using both time-harmonic and time-domain analysis.  Introduction to vector calculus, electrostatics and magnetostatics.  Lay foundation for advanced EM courses.  Laboratory segment includes experiments with transmission lines, the use of computer-simulation exercises and classroom demonstrations. \r\n\r\n \r\n \r\nHomeworks: Homework problems will be assigned every week (6-8 problems). You are strongly encouraged to do the homework problems to get familiar with the details of not so familiar techniques.  \r\n\r\nDue dates for Homeworks are Thursdays at the beginning of class time a week after they are assigned. \r\n\r\nHonor code applies to all homework assignments.\r\n\r\nSolutions will be posted on class website a week after.\r\n\r\n  \r\nGrading: Your grade will be based upon:   \r\n\r\n30% Hwks + 20% Midterm #1 + 30% Final\r\n\r\n \r\n'",3,b'PHYSICS 438 or EECS 330.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS530001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'537',b' Classical Optics ',"b'A theory of electromagnetic, physical, and geometrical optics. Classical theory of dispersion. Linear response, Kramers-Kronig relations, and pulse propagation. Light scattering. Geometrical optics and propagation in inhomogeneous media. Dielectric waveguides. Interferometry and theory of coherence. Diffraction, Fresnel and Fraunhofer. Guassian beams and ABCD law. '",3,b'EECS 330 or 334.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS537001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'550',b' Optical Waves in Crystals ',"b'Propagation of laser beams: Gaussian wave optics and the ABCD law. Manipulation of light by electrical, acoustical waves; crystal properties and the dielectric tensor; electro-optic, acousto-optic effects and devices. Introduction to nonlinear optics; harmonic generation, optical rectification, four-wave mixing, self-focusing, and self-phase modulation.'",3,b'EECS 434 and Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS550001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'576',b' Statistical Mechanics ',"b'Constitutes with CHEM 571 a full course for students specializing in physical chemistry. The foundation of equilibrium statistical mechanics and applications to problems of chemical interest. Included are discussions of imperfect gases and liquids, mixtures, solids, quantum statistics, surface chemistry and polymers.'",3,b'Graduate standing and permission of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS576100&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'601',b' Advanced Condensed Matter ',"b'1st term: basic phenomena and fundamental concepts of condensed matter. Classical and quantum descriptions of the electron gas and its transport properties using the Drude theory and the Sommerfeld theory, crystal structures and their symmetries, phonon excitations, electronic band structures and corresponding classification of materials into conductors, insulators and semi-conductors, phenomena and theories of conventional superconductors, magnetization. \r\n\r\n2nd term: an advanced course in condensed matter physics that focuses on correlation effects (beyond the free system). Weakly-correlated electronic systems and the Fermi liquid theory of Landau, transport and localization, phase transitions and spontaneous symmetry breaking, the quantum Hall effect and topological insulators, optical properties of solids, Green\xe2\x80\x99s functions and Feynman diagrams, strongly-correlated electronic systems and non-Fermi liquids.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS601001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'644',b' Advanced Atomic Physics ',"b'The course is focused on the following topics: Atom-field and atom-laser interactions. Absorption, emission, and saturation. Mechanical effects of light on atoms (atom cooling and trapping methods, BEC). Atom interferometry. Rydberg-atom physics and quantum defect theory. AC Stark shifts and ponderomotive effects. Floquet theory. Quantum optics phenomena (such as electromagnetically induced transparency and Autler-Townes effect).Intended Audience:The prerequisites for this course are Quantum Mechanics (PHYSICS 511/512) and Electromagnetism (PHYSICS 505/506), or their equivalent. It is assumed that students have a good working knowledge of non-relativistic quantum mechanics.'",3,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS644001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'674',b' High Intensity Laser-Plasma Interactions ',"b'Coupling of intense electromagnetic radiation to electrons and collective modes in time-dependent and equilibrium plasmas, ranging from underdense to solid-density. Theory, numerical models and experiments in laser fusion, x-ray lasers, novel electron accelerators and nonlinear optics.'",3,"b'NERS 471, 571 and Graduate standing.  Permission of instructor.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS674001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'715',b' Independent Research ',b'Intended for individualized student non-thesis research under  the supervision of Applied Physics\r\n                          faculty.   Must be arranged with the faculty member and approved by the program.',1,b'Permission of Program Director. Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS715001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'990',b' Dissertation/Precandidate ',b'Election for dissertation work by doctoral student not yet admitted as a Candidate.',1,b'Election for dissertation work.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS990001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'995',b' Dissertation/Candidate ',b'Graduate School authorization for admission as a doctoral Candidate. \r\n\r\nN.B. The defense of the dissertation (the final oral examination) must be held under a full term Candidacy enrollment period. ',8,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110APPPHYS995001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'514',b' Applied Physics Seminar ',"b'Research presentations given by a mix of faculty, external lecturers, and students.  The goal of the seminar is to promote awareness of forefront issues in applied physics and to provide for more interactions among participants in the Applied Physics program. '",1,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2120APPPHYS514001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'514',b' Applied Physics Seminar ',"b'Research presentations given by a mix of faculty, external lecturers, and students.  The goal of the seminar is to promote awareness of forefront issues in applied physics and to provide for more interactions among participants in the Applied Physics program. '",2,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2120APPPHYS514099&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'541',b' Applied Quantum Mechanics II ',"b'Continuation of nonrelativistic quantum mechanics. Advanced angular momentum theory, second quantization, non-relativistic quantum electrodynamics, advanced scattering theory, density matrix formalism, reservoir theory. '",3,b'APPPHYS 540.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2120APPPHYS541001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'551',b' Lasers ',"b'Complete study of laser operation: the atom-field interaction; homogeneous and inhomogeneous broadening mechanisms; atomic rate equations; gain and saturation; laser oscillation; laser resonators, modes, and cavity equations; cavity modes; laser dynamics, Q-switching and mode-locking. Special topics such as femto-seconds lasers and ultrahigh power lasers.'",3,b'EECS 537 or 538 and Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2120APPPHYS551001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'551',b' Lasers ',"b'Complete study of laser operation: the atom-field interaction; homogeneous and inhomogeneous broadening mechanisms; atomic rate equations; gain and saturation; laser oscillation; laser resonators, modes, and cavity equations; cavity modes; laser dynamics, Q-switching and mode-locking. Special topics such as femto-seconds lasers and ultrahigh power lasers.'",3,b'EECS 537 or 538 and Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2120APPPHYS551881&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'611',b' Nonlinear Optics ',"b'Formalism of wave propagation in nonlinear media; susceptibility tensor; second harmonic generation and three-wave mixing; phase matching; third order nonlinearities and four-wave mixing processes; stimulated Raman and Brillouin scattering. Special topics: nonlinear optics in fibers, including solitons and self-phase modulation.'",3,b'EECS 537 or 538 or 530. Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2120APPPHYS611001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
